display_key,combined_key,file_name,country,province,latitude,longitude,population
Cameroon,", Cameroon",Cameroon,Cameroon,,3.848,11.5021,26545863.0
Canada,", Canada",Canada,Canada,,45.4,-75.666667,37742154
"Canada, Alberta","Alberta, Canada",Alberta,Canada,Alberta,53.9333,-116.5765,4345737.0
"Canada, British Columbia","British Columbia, Canada",British Columbia,Canada,British Columbia,53.7267,-127.6476,5020302.0
"Canada, Diamond Princess","Diamond Princess, Canada",Diamond Princess,Canada,Diamond Princess,0.0,0.0,0.0
"Canada, Grand Princess","Grand Princess, Canada",Grand Princess,Canada,Grand Princess,0.0,0.0,0.0
"Canada, Manitoba","Manitoba, Canada",Manitoba,Canada,Manitoba,53.7609,-98.8139,1360396.0
"Canada, New Brunswick","New Brunswick, Canada",New Brunswick,Canada,New Brunswick,46.5653,-66.4619,772094.0
"Canada, Newfoundland and Labrador","Newfoundland and Labrador, Canada",Newfoundland and Labrador,Canada,Newfoundland and Labrador,53.1355,-57.6604,523790.0
"Canada, Northwest Territories","Northwest Territories, Canada",Northwest Territories,Canada,Northwest Territories,64.8255,-124.8457,44598.0
"Canada, Nova Scotia","Nova Scotia, Canada",Nova Scotia,Canada,Nova Scotia,44.682,-63.7443,965382.0
"Canada, Nunavut","Nunavut, Canada",Nunavut,Canada,Nunavut,70.2998,-83.1076,38787.0
"Canada, Ontario","Ontario, Canada",Ontario,Canada,Ontario,51.2538,-85.3232,14446515.0
"Canada, Prince Edward Island","Prince Edward Island, Canada",Prince Edward Island,Canada,Prince Edward Island,46.5107,-63.4168,154748.0
"Canada, Quebec","Quebec, Canada",Quebec,Canada,Quebec,52.9399,-73.5491,8433301.0
"Canada, Repatriated Travellers","Repatriated Travellers, Canada",Repatriated Travellers,Canada,Repatriated Travellers,,,0.0
"Canada, Saskatchewan","Saskatchewan, Canada",Saskatchewan,Canada,Saskatchewan,52.9399,-106.4509,1168423.0
"Canada, Yukon","Yukon, Canada",Yukon,Canada,Yukon,64.2823,-135.0,40369.0
Central African Republic,", Central African Republic",Central African Republic,Central African Republic,,6.6111,20.9394,4829767.0
Chad,", Chad",Chad,Chad,,15.4542,18.7322,16425864.0
Chile,", Chile",Chile,Chile,,-35.6751,-71.543,19116201.0
China,", China",China,China,,39.916667, 116.383333,1439323776
"China, Anhui","Anhui, China",Anhui,China,Anhui,31.8257,117.2264,59500510.0
"China, Beijing","Beijing, China",Beijing,China,Beijing,40.1824,116.4142,19612368.0
"China, Chongqing","Chongqing, China",Chongqing,China,Chongqing,30.0572,107.874,28846170.0
"China, Fujian","Fujian, China",Fujian,China,Fujian,26.0789,117.9874,36894216.0
"China, Gansu","Gansu, China",Gansu,China,Gansu,35.7518,104.2861,25575254.0
"China, Guangdong","Guangdong, China",Guangdong,China,Guangdong,23.3417,113.4244,104303132.0
"China, Guangxi","Guangxi, China",Guangxi,China,Guangxi,23.8298,108.7881,46026629.0
